ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
9202.0,'10',0.788,'01 10',2,1,TS
9203.0,'01',0.013,'01 10',2,1,TS
9203.0,'10',0.987,'01 10',2,1,TS
9204.0,'01',1.0,'01',1,1,TS
9205.0,'01',0.686,'01 10',2,1,TS
9205.0,'10',0.314,'01 10',2,1,TS
9206.0,'01',1.0,'01',1,1,TS
9207.0,'01',0.066,'01 10',2,1,TS
9207.0,'10',0.934,'01 10',2,1,TS
9208.0,'01',0.44,'01 10',2,1,TS
9208.0,'10',0.56,'01 10',2,1,TS
9209.0,'01',0.076,'01 10',2,1,TS
9209.0,'10',0.924,'01 10',2,1,TS
9210.0,'01',1.0,'01',1,1,TS
9211.0,'00',0.168,'00 10',2,1,TS
9211.0,'10',0.832,'00 10',2,1,TS
9212.0,'01',0.699,'01 10',2,1,TS
9212.0,'10',0.301,'01 10',2,1,TS
9213.0,'01',0.197,'01 10',2,1,TS
9213.0,'10',0.803,'01 10',2,1,TS
9214.0,'01',0.508,'01 10',2,1,TS
9214.0,'10',0.492,'01 10',2,1,TS
9215.0,'01',1.0,'01',1,1,TS
9216.0,'10',1.0,'10',1,1,TS
9217.0,'01',1.0,'01',1,1,TS
9218.0,'01',1.0,'01',1,1,TS
9219.0,'00',0.345,'00 10',2,1,TS
9219.0,'10',0.655,'00 10',2,1,TS
9220.0,'10',1.0,'10',1,1,TS
9221.0,'01',0.418,'01 10',2,1,TS
9221.0,'10',0.582,'01 10',2,1,TS
9222.0,'01',1.0,'01',1,1,TS
9223.0,'01',1.0,'01',1,1,TS
9224.0,'10',1.0,'10',1,1,TS
9225.0,'11',1.0,'11',1,1,TS
9226.0,'10',1.0,'10',1,1,TS
9227.0,'01',1.0,'01',1,1,TS
9228.0,'01',0.523,'01 10',2,1,TS
9228.0,'10',0.477,'01 10',2,1,TS
9229.0,'01',0.872,'01 10',2,1,TS
9229.0,'10',0.128,'01 10',2,1,TS
9230.0,'01',0.835,'01 10',2,1,TS
9230.0,'10',0.165,'01 10',2,1,TS
9231.0,'01',0.191,'01 10',2,1,TS
9231.0,'10',0.809,'01 10',2,1,TS
9232.0,'01',0.963,'01 10',2,1,TS
9232.0,'10',0.037,'01 10',2,1,TS
9233.0,'01',1.0,'01',1,1,TS
9234.0,'10',1.0,'10',1,1,TS
9235.0,'01',0.79,'01 10',2,1,TS
9235.0,'10',0.21,'01 10',2,1,TS
9236.0,'10',1.0,'10',1,1,TS
9237.0,'10',1.0,'10',1,1,TS
9238.0,'10',1.0,'10',1,1,TS
9239.0,'10',1.0,'10',1,1,TS
9240.0,'01',1.0,'01',1,1,TS
9241.0,'10',1.0,'10',1,1,TS
9242.0,'00',0.706,'00 01',2,1,TS
9242.0,'01',0.294,'00 01',2,1,TS
9243.0,'01',1.0,'01',1,1,TS
9244.0,'10',1.0,'10',1,1,TS
9245.0,'01',0.84,'01 10',2,1,TS
9245.0,'10',0.16,'01 10',2,1,TS
9246.0,'01',1.0,'01',1,1,TS
