ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
3882.0,'01',1.0,'01',1,1,TSSA
3883.0,'01',0.219,'01 10',2,1,TSSA
3883.0,'10',0.781,'01 10',2,1,TSSA
3884.0,'01',0.872,'01 10',2,1,TSSA
3884.0,'10',0.128,'01 10',2,1,TSSA
3885.0,'01',1.0,'01',1,1,TSSA
3886.0,'01',0.949,'01 10',2,1,TSSA
3886.0,'10',0.051,'01 10',2,1,TSSA
3887.0,'01',1.0,'01',1,1,TSSA
3888.0,'01',0.251,'01 10',2,1,TSSA
3888.0,'10',0.749,'01 10',2,1,TSSA
3889.0,'01',0.846,'01 10',2,1,TSSA
3889.0,'10',0.154,'01 10',2,1,TSSA
3890.0,'01',0.96,'01 10',2,1,TSSA
3890.0,'10',0.04,'01 10',2,1,TSSA
3891.0,'01',0.448,'01 10',2,1,TSSA
3891.0,'10',0.552,'01 10',2,1,TSSA
3892.0,'01',0.128,'01 10',2,1,TSSA
3892.0,'10',0.872,'01 10',2,1,TSSA
3893.0,'10',1.0,'10',1,1,TSSA
3894.0,'01',1.0,'01',1,1,TSSA
3895.0,'01',0.78,'01 10',2,1,TSSA
3895.0,'10',0.22,'01 10',2,1,TSSA
3896.0,'10',1.0,'10',1,1,TSSA
3897.0,'01',0.395,'01 10',2,1,TSSA
3897.0,'10',0.605,'01 10',2,1,TSSA
3898.0,'01',0.221,'01 10',2,1,TSSA
3898.0,'10',0.779,'01 10',2,1,TSSA
3899.0,'00',0.9949341438703141,'00 01',2,1,TSSA
3899.0,'01',0.005065856129685917,'00 01',2,1,TSSA
3900.0,'01',0.365,'01 10',2,1,TSSA
3900.0,'10',0.635,'01 10',2,1,TSSA
3901.0,'01',0.004,'01 10',2,1,TSSA
3901.0,'10',0.996,'01 10',2,1,TSSA
3902.0,'10',1.0,'10',1,1,TSSA
3903.0,'01',0.985,'01 10',2,1,TSSA
3903.0,'10',0.015,'01 10',2,1,TSSA
3904.0,'10',1.0,'10',1,1,TSSA
3905.0,'01',0.771,'01 10',2,1,TSSA
3905.0,'10',0.229,'01 10',2,1,TSSA
3906.0,'01',0.892,'01 10',2,1,TSSA
3906.0,'10',0.108,'01 10',2,1,TSSA
3907.0,'00',0.876,'00 01 10',3,1,TSSA
3907.0,'01',0.055,'00 01 10',3,1,TSSA
3907.0,'10',0.069,'00 01 10',3,1,TSSA
3908.0,'01',0.893,'01 10',2,1,TSSA
3908.0,'10',0.107,'01 10',2,1,TSSA
3909.0,'10',1.0,'10',1,1,TSSA
3910.0,'01',0.253,'01 10',2,1,TSSA
3910.0,'10',0.747,'01 10',2,1,TSSA
3911.0,'01',0.091,'01 10',2,1,TSSA
3911.0,'10',0.909,'01 10',2,1,TSSA
3912.0,'01',0.056,'01 10',2,1,TSSA
3912.0,'10',0.944,'01 10',2,1,TSSA
3913.0,'01',0.082,'01 10',2,1,TSSA
3913.0,'10',0.918,'01 10',2,1,TSSA
3914.0,'01',0.211,'01 10',2,1,TSSA
3914.0,'10',0.789,'01 10',2,1,TSSA
3915.0,'00',0.005,'00 01 10',3,1,TSSA
3915.0,'01',0.153,'00 01 10',3,1,TSSA
3915.0,'10',0.842,'00 01 10',3,1,TSSA
3916.0,'01',0.148,'01 10',2,1,TSSA
3916.0,'10',0.852,'01 10',2,1,TSSA
3917.0,'01',1.0,'01',1,1,TSSA
3918.0,'01',0.278,'01 10',2,1,TSSA
3918.0,'10',0.722,'01 10',2,1,TSSA
3919.0,'01',1.0,'01',1,1,TSSA
3920.0,'10',1.0,'10',1,1,TSSA
3921.0,'01',0.981,'01 10',2,1,TSSA
3921.0,'10',0.019,'01 10',2,1,TSSA
3922.0,'01',1.0,'01',1,1,TSSA
3923.0,'01',1.0,'01',1,1,TSSA
3924.0,'01',0.399,'01 10',2,1,TSSA
3924.0,'10',0.601,'01 10',2,1,TSSA
3925.0,'00',0.127,'00 10',2,1,TSSA
3925.0,'10',0.873,'00 10',2,1,TSSA
3926.0,'01',1.0,'01',1,1,TSSA
3927.0,'01',0.935,'01 10',2,1,TSSA
